,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_period,2.309,0.006,2.299,2.321,0.0,0.0,2574.0,1354.0,1.0
log_semiamp,6.324,0.136,6.063,6.553,0.003,0.002,2134.0,1137.0,1.0
log_jitter,-2.914,4.845,-12.074,5.675,0.09,0.099,2926.0,1452.0,1.0
zero_point,0.224,9.815,-17.529,19.182,0.207,0.226,2288.0,1449.0,1.0
period,10.067,0.057,9.964,10.181,0.001,0.001,2574.0,1354.0,1.0
semiamp,562.966,74.841,424.816,696.275,1.623,1.148,2134.0,1137.0,1.0
ecc,0.168,0.111,0.0,0.358,0.003,0.002,911.0,940.0,1.0
plus,-1.098,1.417,-3.139,2.135,0.057,0.04,792.0,1257.0,1.01
minus,-0.422,0.12,-0.662,-0.213,0.002,0.002,2790.0,1244.0,1.0
phi,-1.52,1.423,-3.629,1.845,0.057,0.04,814.0,1257.0,1.01
omega,-0.676,1.422,-2.726,2.654,0.057,0.041,787.0,1326.0,1.01
tperi,-2.438,2.283,-5.834,2.975,0.091,0.065,814.0,1257.0,1.01
