,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_period,2.462,0.587,1.396,3.899,0.095,0.075,25.0,50.0,1.25
log_semiamp,-4.204,20.341,-47.244,7.097,6.167,4.483,9.0,135.0,1.14
log_jitter,-2.892,5.104,-12.059,6.515,0.116,0.104,1966.0,1155.0,1.0
zero_point,0.332,10.049,-18.506,18.962,0.204,0.249,2451.0,1371.0,1.01
period,15.1,19.874,1.621,36.841,3.214,2.29,25.0,50.0,1.25
semiamp,424.086,331.212,0.0,870.469,122.095,90.008,9.0,135.0,1.14
ecc,0.344,0.25,0.001,0.848,0.037,0.029,66.0,808.0,1.02
plus,-0.19,1.879,-3.012,2.907,0.342,0.244,78.0,1419.0,1.04
minus,0.026,1.318,-2.435,2.838,0.378,0.274,16.0,182.0,1.19
phi,-0.164,2.447,-3.973,4.189,0.802,0.586,11.0,676.0,1.13
omega,-0.216,2.132,-4.35,3.802,0.076,0.122,795.0,387.0,1.02
tperi,0.186,10.195,-10.147,12.987,0.595,0.551,14.0,116.0,1.09
