,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_period,2.356,0.71,0.932,3.934,0.036,0.034,411.0,134.0,1.77
log_semiamp,-14.25,29.193,-69.653,6.436,14.412,11.018,3.0,79.0,1.83
log_jitter,-3.217,5.01,-12.803,5.923,0.156,0.136,1039.0,581.0,1.0
zero_point,0.805,9.366,-17.236,17.797,0.249,0.231,1418.0,1177.0,1.0
period,14.084,16.17,0.545,34.808,1.622,1.15,411.0,134.0,1.77
semiamp,162.725,171.825,0.0,418.696,114.743,94.925,3.0,79.0,1.83
ecc,0.39,0.275,0.0,0.906,0.082,0.063,15.0,222.0,1.1
plus,-0.54,1.68,-3.141,2.52,0.199,0.141,117.0,1086.0,1.03
minus,-0.222,1.385,-2.541,2.974,0.092,0.451,439.0,69.0,1.57
phi,-0.762,2.237,-4.206,4.045,0.44,0.315,53.0,182.0,1.11
omega,-0.319,2.116,-3.966,4.091,0.088,0.276,597.0,105.0,1.06
tperi,-1.214,7.862,-11.198,12.504,0.332,0.235,66.0,116.0,1.12
