,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_period,3.004,0.014,2.979,3.034,0.001,0.0,655.0,430.0,1.0
log_semiamp,6.217,0.2,5.843,6.594,0.008,0.006,577.0,517.0,1.01
log_jitter,-2.835,5.008,-11.853,6.975,0.123,0.116,1665.0,1004.0,1.0
zero_point,1.252,9.706,-16.909,19.333,0.294,0.23,1098.0,700.0,1.0
period,20.166,0.287,19.66,20.774,0.012,0.008,655.0,430.0,1.0
semiamp,511.212,101.845,333.612,710.664,4.478,3.333,577.0,517.0,1.01
ecc,0.448,0.188,0.127,0.794,0.009,0.007,451.0,606.0,1.0
plus,1.05,0.628,0.237,2.251,0.026,0.025,521.0,852.0,1.0
minus,-0.77,0.179,-1.101,-0.409,0.007,0.005,802.0,471.0,1.0
phi,0.281,0.658,-0.642,1.56,0.029,0.022,441.0,673.0,1.0
omega,1.82,0.648,0.894,3.033,0.025,0.021,632.0,748.0,1.0
tperi,0.884,2.1,-2.29,4.773,0.094,0.072,438.0,668.0,1.0
