,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_period,3.001,0.992,1.146,4.811,0.042,0.03,571.0,771.0,1.01
log_semiamp,-36.811,31.529,-94.591,5.125,1.875,1.377,273.0,187.0,1.0
log_jitter,-3.268,5.094,-11.868,7.331,0.181,0.141,788.0,775.0,1.01
zero_point,0.469,9.646,-18.531,17.887,0.382,0.29,647.0,765.0,1.0
period,32.195,38.795,1.15,86.427,1.646,1.165,571.0,771.0,1.01
semiamp,1.848,11.384,0.0,3.633,0.663,0.469,273.0,187.0,1.01
ecc,0.514,0.286,0.068,0.988,0.01,0.007,836.0,775.0,1.0
plus,0.1,1.748,-2.629,3.134,0.078,0.059,588.0,1114.0,1.0
minus,0.05,1.826,-2.82,3.029,0.089,0.065,522.0,871.0,1.01
phi,0.15,2.555,-4.668,4.632,0.124,0.088,439.0,657.0,1.01
omega,0.05,2.5,-4.361,4.827,0.114,0.08,498.0,572.0,1.01
tperi,1.453,22.825,-33.286,35.834,0.977,0.691,457.0,602.0,1.01
