,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_period,2.312,0.008,2.298,2.327,0.0,0.0,1566.0,1033.0,1.0
log_semiamp,6.081,0.182,5.735,6.401,0.004,0.003,1911.0,1265.0,1.0
log_jitter,-2.883,4.912,-11.357,6.481,0.097,0.093,2601.0,1502.0,1.0
zero_point,0.244,9.771,-17.657,18.689,0.188,0.228,2702.0,1503.0,1.0
period,10.09,0.081,9.952,10.25,0.002,0.002,1566.0,1033.0,1.0
semiamp,444.66,77.65,307.415,598.834,1.768,1.25,1911.0,1265.0,1.0
ecc,0.204,0.135,0.0,0.431,0.004,0.003,853.0,597.0,1.0
plus,-1.018,1.468,-3.135,2.528,0.049,0.036,1029.0,1214.0,1.0
minus,-0.47,0.182,-0.821,-0.16,0.005,0.004,1513.0,924.0,1.0
phi,-1.489,1.458,-3.501,2.247,0.048,0.036,947.0,1184.0,1.0
omega,-0.548,1.5,-2.761,3.0,0.05,0.037,1060.0,1229.0,1.0
tperi,-2.391,2.347,-5.504,3.767,0.078,0.059,946.0,1136.0,1.0
