,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_period,2.365,0.876,0.57,3.947,0.066,0.047,177.0,272.0,1.19
log_semiamp,-30.652,31.402,-86.098,6.397,8.285,5.982,8.0,14.0,1.21
log_jitter,-2.957,4.794,-11.923,6.04,0.163,0.127,863.0,1036.0,1.0
zero_point,0.633,9.553,-15.931,19.57,0.319,0.252,895.0,715.0,1.0
period,15.382,15.422,0.694,40.987,0.996,0.705,177.0,272.0,1.19
semiamp,40.411,105.653,0.0,298.82,47.586,35.868,8.0,14.0,1.21
ecc,0.465,0.283,0.001,0.919,0.016,0.011,314.0,520.0,1.02
plus,0.081,1.756,-2.828,2.961,0.065,0.084,969.0,1054.0,1.01
minus,0.129,1.828,-3.115,2.763,0.132,0.094,280.0,910.0,1.02
phi,0.21,2.526,-4.75,4.324,0.127,0.09,434.0,865.0,1.01
omega,-0.048,2.543,-4.565,4.603,0.144,0.102,340.0,1085.0,1.01
tperi,0.19,8.946,-16.145,16.543,0.308,0.268,611.0,700.0,1.03
