,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_period,3.015,0.725,1.49,4.836,0.057,0.04,176.0,153.0,1.53
log_semiamp,-16.018,33.506,-79.617,9.544,17.44,13.464,3.0,40.0,1.61
log_jitter,-2.858,5.055,-11.973,6.456,0.15,0.108,1148.0,1187.0,1.0
zero_point,0.194,9.895,-17.196,18.812,0.266,0.264,1387.0,1175.0,1.0
period,27.445,31.055,1.681,71.949,2.212,1.566,176.0,153.0,1.52
semiamp,668.975,1265.291,0.0,1701.262,422.492,309.039,3.0,40.0,1.61
ecc,0.572,0.274,0.091,0.991,0.02,0.014,163.0,162.0,1.03
plus,0.51,1.412,-2.38,3.036,0.268,0.204,207.0,121.0,1.22
minus,-0.491,1.282,-2.345,2.894,0.303,0.302,119.0,65.0,1.36
phi,0.019,1.805,-4.162,3.572,0.056,0.447,911.0,73.0,1.24
omega,1.001,2.005,-3.491,4.205,0.653,0.477,13.0,112.0,1.21
tperi,0.008,16.557,-25.274,20.542,0.43,0.598,927.0,203.0,1.16
