,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_period,3.006,0.016,2.979,3.038,0.001,0.0,565.0,671.0,1.0
log_semiamp,6.891,0.231,6.471,7.342,0.011,0.008,470.0,209.0,1.01
log_jitter,-3.014,5.03,-12.757,5.871,0.146,0.106,1181.0,1239.0,1.01
zero_point,0.377,9.652,-17.746,18.354,0.266,0.231,1336.0,1008.0,1.0
period,20.211,0.316,19.623,20.822,0.014,0.01,565.0,671.0,1.0
semiamp,1009.571,235.645,566.999,1449.241,12.171,9.49,470.0,209.0,1.01
ecc,0.504,0.197,0.167,0.855,0.01,0.007,388.0,276.0,1.0
plus,0.999,0.552,0.141,2.06,0.025,0.02,464.0,722.0,1.0
minus,-0.798,0.194,-1.182,-0.461,0.008,0.005,679.0,732.0,1.0
phi,0.2,0.601,-0.737,1.365,0.028,0.02,452.0,801.0,1.0
omega,1.797,0.569,0.981,3.017,0.025,0.019,512.0,666.0,1.0
tperi,0.625,1.921,-2.225,4.552,0.09,0.064,451.0,802.0,1.0
